year,reported_month,region_of_origin,region_of_incident,country_of_origin,total_dead_and_missing,cause_of_death,migration_route,location_of_death,source,unsd_geographical_grouping,lat,lon
2018,10,6,3,104,1,132,Horn of Africa to Yemen crossing,2551,864,4,4.884933,38.116099
2018,10,6,3,104,1,66,Horn of Africa to Yemen crossing,758,864,4,6.770377,47.41765
2018,10,25,18,104,22,132,Iran to Türkiye,1850,25,19,38.27705488,27.18258423
2018,10,6,3,104,1,133,Sahara Desert crossing,281,864,4,-22.224039,29.996078
2018,10,22,17,104,2,52,Sahara Desert crossing,2438,864,18,7.236226,-5.038495
2018,10,22,17,104,1,66,Sahara Desert crossing,2234,864,18,16.775833,-3.009444
2018,10,22,7,104,1,66,Sahara Desert crossing,2434,864,7,5.261657,13.578635
2018,10,2,1,60,2,132,US-Mexico border crossing,2309,843,2,20.61410485,-100.8229615
2018,10,22,17,104,2,52,Sahara Desert crossing,812,864,18,4.366667,-7.716667
2018,10,22,17,104,1,52,Sahara Desert crossing,812,864,18,4.366667,-7.716667
2018,10,23,9,104,1,52,Sahara Desert crossing,2389,863,8,32.877428,13.204771
2018,10,6,3,104,1,132,Sahara Desert crossing,1495,864,4,-16.083382,33.637539
2018,10,6,3,104,1,52,Sahara Desert crossing,1446,864,4,-13.86155,33.782244
2018,10,22,17,104,2,52,Sahara Desert crossing,797,864,18,12.054854,-8.998136
2018,10,14,0,106,2,15,Venezuela to Caribbean,1592,885,0,12.40008995,-69.84954833
2018,10,23,13,104,1,0,Horn of Africa to Yemen crossing,1701,864,13,6.614935,101.337994
2018,10,2,1,60,1,132,US-Mexico border crossing,1025,154,2,14.4498588,-90.6429999
2018,10,2,1,54,6,132,US-Mexico border crossing,828,768,2,16.66168767,-92.55863457
2018,10,2,1,60,1,132,US-Mexico border crossing,1024,745,2,15.1108171,-92.43089998
2018,10,5,3,49,7,15,Comoros to Mayotte,950,1025,4,-4.841440546,39.45602558
2018,10,6,3,104,1,66,Horn of Africa to Yemen crossing,1385,864,4,9.020952,46.451457
2018,10,6,3,104,1,66,Sahara Desert crossing,1357,864,4,-12.949113,28.674062
2018,10,6,3,104,1,66,Sahara Desert crossing,1349,864,4,-2.55236,36.79757
2018,10,14,11,106,1,66,Darien,881,373,11,5.540402403,-73.36125464
2018,10,6,3,104,1,66,Sahara Desert crossing,1256,864,4,12.953846,36.152215
2018,10,22,17,104,1,66,Sahara Desert crossing,1666,864,18,12.357222,-1.535278
2018,10,6,3,104,2,133,Sahara Desert crossing,1256,864,4,12.953846,36.152215
2018,10,2,1,60,1,133,US-Mexico border crossing,796,359,2,14.67658428,-92.14732112
2018,10,6,3,104,1,66,Sahara Desert crossing,2401,864,4,-9.311028,32.777507
2018,10,6,3,104,1,66,Sahara Desert crossing,564,864,4,-14.395626,34.325744
2018,10,22,17,104,1,132,Sahara Desert crossing,2582,864,18,12.25,-0.616667
2018,10,22,17,104,1,52,Sahara Desert crossing,1107,864,18,6.666667,-1.616667
2018,10,2,1,43,1,132,US-Mexico border crossing,2184,1092,2,17.5969832,-92.8265503
2018,10,6,3,104,3,52,Horn of Africa to Yemen crossing,2492,864,4,8.734584,44.788894
2018,10,11,7,33,6,133,Sahara Desert crossing,1168,941,7,-8.003956044,19.16671869
2018,11,22,17,104,7,132,Sahara Desert crossing,340,864,18,11.183333,-4.283333
2018,11,2,1,43,1,33,US-Mexico border crossing,2008,983,2,14.9609782,-91.8074586
2018,11,22,17,104,2,66,Sahara Desert crossing,710,864,18,12.05,0.366667
2018,11,23,3,104,1,15,Comoros to Mayotte,386,501,4,-12.78464779,45.10032603
2018,11,22,17,104,1,66,Sahara Desert crossing,340,864,18,11.183333,-4.283333
2018,11,22,17,104,1,66,Sahara Desert crossing,710,864,18,12.05,0.366667
2018,11,22,17,104,1,132,Sahara Desert crossing,408,864,18,12.19,1.39
2018,11,28,5,66,1,132,Central Mediterranean,1615,575,16,39.48863,20.280311
2018,11,22,17,104,2,132,Sahara Desert crossing,2576,864,18,10.4875,-5.653611
2018,11,10,1,104,1,132,US-Mexico border crossing,2361,225,2,19.9115315,-99.3637925
2018,11,22,17,104,1,66,Sahara Desert crossing,2064,864,18,11.316667,-5.666667
2018,11,22,17,104,3,132,Sahara Desert crossing,2064,864,18,11.316667,-5.666667
2018,11,22,17,104,1,66,Sahara Desert crossing,237,864,18,12.639167,-8.002778
2018,11,19,12,90,2,133,Afghanistan to Iran,1848,42,15,27.14902079,63.2915497
2018,11,6,3,104,5,133,Sahara Desert crossing,1406,864,4,8.271988,34.587575
2018,11,10,1,104,1,133,US-Mexico border crossing,366,1101,2,19.02521579,-96.31746293
2018,11,10,1,104,1,132,US-Mexico border crossing,2331,31,2,20.023597,-99.217633
2018,11,19,13,82,1,15,Horn of Africa to Yemen crossing,2463,1175,17,10.58709075,96.79131089
2018,11,0,1,27,2,15,Caribbean to US,372,744,2,16.525452,-85.875321
2018,11,23,9,104,3,52,Sahara Desert crossing,2584,863,8,32.90099,12.101146
2018,11,23,9,104,2,52,Sahara Desert crossing,2584,863,8,32.93631,12.047306
2018,11,28,18,100,1,132,Syria to Türkiye,103,544,19,36.83739766,31.76585416
2018,11,23,9,104,2,52,Sahara Desert crossing,2584,863,8,32.90977,12.093463
2018,11,2,1,54,1,66,US-Mexico border crossing,891,335,2,28.267376,-105.477996
2018,11,10,1,104,1,132,US-Mexico border crossing,2319,368,2,29.09715,-110.919818
2018,11,19,13,82,2,132,Sahara Desert crossing,1726,1129,13,11.788676,99.791487
2018,11,19,13,82,2,132,Sahara Desert crossing,1089,827,13,11.7941667,99.8152778
2018,12,19,18,3,3,33,Türkiye-Europe land route,2047,546,19,41.306959,26.519596
2018,12,22,17,104,1,66,Sahara Desert crossing,1099,863,18,12.194573,-0.356249
2018,12,22,17,104,1,66,Sahara Desert crossing,2203,863,18,10.62434,1.254769
2018,12,22,17,104,1,132,Sahara Desert crossing,2178,863,18,13.410796,-6.247758
2018,12,22,17,104,2,132,Sahara Desert crossing,1096,863,18,14.084226,-3.08248
2018,12,22,17,104,2,52,Sahara Desert crossing,1358,863,18,5.422953,-4.084726
2018,12,22,17,104,1,66,Sahara Desert crossing,543,863,18,6.936205,-6.476191
2018,12,22,17,104,1,52,Sahara Desert crossing,72,863,18,5.451341,-4.041236
2018,12,22,17,104,1,132,Sahara Desert crossing,528,863,18,9.702537,-13.553884
2018,12,2,1,54,1,133,US-Mexico border crossing,948,29,2,17.997026,-95.385768
2018,12,22,7,104,1,66,Sahara Desert crossing,1356,863,7,12.122781,15.137822
2018,12,22,17,104,1,52,Sahara Desert crossing,1126,863,18,6.489254,3.233104
2018,12,6,3,104,2,52,Western Balkans,756,863,4,41.839523,11.722628
2018,12,19,5,0,1,132,Central Mediterranean,322,222,16,43.60990251,13.45659002
2018,12,5,3,49,14,132,Comoros to Mayotte,961,1231,4,-6.840928719,37.62619356
2018,7,28,18,100,1,133,Syria to Türkiye,2117,783,19,33.35723644,35.74958852
2019,1,14,11,106,1,33,Darien,2235,956,11,2.352686,-76.683352
2019,1,23,9,104,1,66,Sahara Desert crossing,2389,863,8,32.870675,13.183525
2019,1,23,9,104,2,52,Sahara Desert crossing,1936,863,8,26.981369,14.500791
2019,1,23,9,104,1,33,Sahara Desert crossing,1936,863,8,27.044707,14.370553
2019,1,2,1,60,1,132,US-Mexico border crossing,876,255,2,25.4383234,-100.973678
2019,1,2,1,43,1,132,US-Mexico border crossing,1010,702,2,18.329901676,-95.812964295
2019,1,2,1,60,1,133,US-Mexico border crossing,365,58,2,19.1780491,-96.1288426
2019,1,23,9,104,1,52,Sahara Desert crossing,1938,863,8,32.772563,12.408455
2019,1,2,1,43,1,132,US-Mexico border crossing,882,849,2,17.932600659,-94.905738831
2019,1,19,13,82,4,132,Sahara Desert crossing,170,1255,13,10.4609245,99.131347
2019,1,22,17,104,2,132,Sahara Desert crossing,1660,863,18,12.482283,-1.505151
2019,1,22,17,104,2,132,Sahara Desert crossing,2576,863,18,10.495701,-5.645127
2019,1,22,17,104,1,66,Sahara Desert crossing,1046,863,18,14.482871,-11.407682
2019,1,22,17,104,1,66,Sahara Desert crossing,528,863,18,9.702537,-13.553884
2019,1,6,3,104,1,133,Horn of Africa to Yemen crossing,205,609,4,11.2755407,49.1878994
2019,1,10,1,104,1,132,US-Mexico border crossing,2355,847,2,19.705606861,-99.174764263
2019,1,22,17,104,1,66,Sahara Desert crossing,237,863,18,12.699137,-8.023181
2019,1,22,17,104,1,66,Sahara Desert crossing,1660,863,18,12.482283,-1.505151
2019,1,22,17,104,2,52,Sahara Desert crossing,1030,863,18,10.667984,-14.558985
2019,1,2,1,60,1,132,US-Mexico border crossing,2320,641,2,17.871860613,-94.963871768
2019,1,2,1,60,1,132,US-Mexico border crossing,2330,338,2,25.2863125,-101.2815625
2019,1,22,17,104,2,132,Sahara Desert crossing,717,863,18,12.050329,-4.667837
2019,1,22,17,104,1,66,Sahara Desert crossing,1562,863,18,9.532575,-7.55468
2019,1,22,17,104,2,66,Sahara Desert crossing,2064,863,18,11.349313,-5.665146
2019,1,22,17,104,1,52,Sahara Desert crossing,341,863,18,11.127705,-4.316257
2019,2,28,5,66,4,15,Eastern Mediterranean,698,93,16,40.943359495,26.346705112
2019,2,22,17,104,3,132,Sahara Desert crossing,2576,863,18,10.495701,-5.645127
2019,2,22,17,104,1,66,Sahara Desert crossing,711,863,18,12.051544,0.372453
2019,2,0,0,59,31,15,Caribbean to US,1582,102,0,26.510686693,-76.937172306
2019,2,22,9,104,8,33,Sahara Desert crossing,1464,68,8,34.667391957,-1.812885234
2019,2,2,1,54,1,133,US-Mexico border crossing,1014,841,2,17.7281699,-91.7589941
2019,2,22,17,104,1,66,Sahara Desert crossing,2558,863,18,6.764231,-5.249555
2019,2,26,9,29,1,33,Sahara Desert crossing,1870,68,8,34.705746118,-1.775936609
2019,2,22,9,104,3,132,Sahara Desert crossing,1845,75,8,34.9603783,-3.380756397
2019,2,6,3,104,1,133,Horn of Africa to Yemen crossing,1282,609,4,0.934217,43.5606946
2019,2,10,1,104,1,133,US-Mexico border crossing,422,1207,2,25.463711664,-100.97989845
2019,2,22,17,104,3,132,Sahara Desert crossing,214,863,18,5.600909,-3.161187
2019,2,22,17,104,1,66,Sahara Desert crossing,237,863,18,12.699137,-8.023181
2019,2,22,17,104,2,132,Sahara Desert crossing,237,863,18,12.699137,-8.023181
2019,2,22,17,104,1,66,Sahara Desert crossing,307,863,18,12.065762,-4.678001
2019,2,23,9,104,1,52,Sahara Desert crossing,2389,863,8,32.89534,13.18105
2019,2,2,1,78,1,132,US-Mexico border crossing,827,815,2,19.984811632,-101.150053344
2019,2,22,17,104,1,66,Sahara Desert crossing,1096,863,18,14.081062,-3.082222
2019,2,22,17,104,3,52,Sahara Desert crossing,1046,863,18,14.482871,-11.407682
2019,2,22,17,104,1,133,Sahara Desert crossing,2220,863,18,5.718123,0.049
2019,2,22,17,104,3,132,Sahara Desert crossing,1096,863,18,14.081062,-3.082222
2019,2,2,1,60,1,132,US-Mexico border crossing,459,968,2,22.164571,-100.938266
2019,2,22,17,104,1,132,Sahara Desert crossing,341,863,18,11.127705,-4.316257
2019,2,6,3,104,1,66,Horn of Africa to Yemen crossing,404,609,4,11.2755407,49.1878994
2019,2,2,1,60,1,66,US-Mexico border crossing,1472,872,2,14.676488506,-92.146375389
2019,2,19,18,8,1,132,Türkiye-Europe land route,837,1172,19,40.723671108,26.091135275
2019,2,28,18,100,3,15,Syria to Türkiye,91,624,19,36.9195847,37.0347615
2019,2,22,9,104,2,52,Sahara Desert crossing,345,112,8,35.143072915,-2.9870143
2019,2,14,11,106,1,52,Western Africa / Atlantic route to the Canary Islands,868,939,11,-1.4396877,-48.4808635
2019,2,6,3,104,1,133,Horn of Africa to Yemen crossing,2082,863,4,3.546455,38.663186
2019,2,6,3,104,2,132,Horn of Africa to Yemen crossing,1458,863,4,3.517106,39.063164
2019,2,22,7,104,1,52,Sahara Desert crossing,2467,863,7,8.156476,23.136693
2019,3,22,17,104,4,33,Sahara Desert crossing,1281,863,18,14.469729,-4.160487
2019,3,2,1,54,2,133,US-Mexico border crossing,527,492,2,16.345883872,-92.595581926
2019,3,22,17,104,1,66,Sahara Desert crossing,2178,863,18,13.436905,-6.200409
2019,3,10,1,104,1,132,US-Mexico border crossing,2271,995,2,22.1728887,-100.9674528
2019,3,14,11,106,1,66,Western Africa / Atlantic route to the Canary Islands,869,939,11,-1.4396877,-48.4808635
2019,3,22,17,104,3,133,Sahara Desert crossing,1096,863,18,14.081062,-3.082222
2019,3,22,17,104,2,66,Sahara Desert crossing,1281,863,18,14.469729,-4.160487
2019,3,22,17,104,2,52,Sahara Desert crossing,78,863,18,5.684477,-0.211797
2019,3,0,0,34,1,15,Dominican Republic to Puerto Rico,1426,793,0,18.232326184,-69.057353262
2019,3,23,9,104,3,52,Sahara Desert crossing,2584,863,8,32.92432,12.09157
2019,3,6,3,104,2,132,Horn of Africa to Yemen crossing,845,609,4,10.3938218,47.7637565
2019,3,22,17,104,1,66,Sahara Desert crossing,2441,863,18,11.710932,-9.50458
2019,3,22,17,104,1,132,Sahara Desert crossing,237,863,18,12.699137,-8.023181
2019,3,22,17,104,2,132,Sahara Desert crossing,1839,863,18,12.782551,-7.728195
2019,3,22,17,104,3,66,Sahara Desert crossing,2178,863,18,13.436905,-6.200409
2019,3,22,17,104,1,133,Sahara Desert crossing,70,863,18,5.448645,-4.026206
2019,3,22,17,104,2,66,Sahara Desert crossing,2064,863,18,11.349313,-5.665146
2019,3,22,17,104,2,133,Sahara Desert crossing,245,863,18,14.342818,-3.603553
2019,3,2,1,43,1,132,US-Mexico border crossing,2300,843,2,25.56391416,-103.492111623
2019,3,22,7,104,2,52,Sahara Desert crossing,1147,863,7,0.439018,9.483392
2019,3,22,17,104,1,133,Sahara Desert crossing,1660,863,18,12.432517,-1.520122
2019,3,23,9,104,2,66,Sahara Desert crossing,2389,863,8,32.89534,13.18105
2019,3,2,1,43,1,133,US-Mexico border crossing,2255,935,2,24.0571489,-105.4576698
2019,3,22,17,104,1,66,Sahara Desert crossing,491,863,18,11.115414,0.009824
2019,3,22,17,104,1,52,Sahara Desert crossing,533,863,18,6.362728,2.300038
2019,3,22,17,104,1,66,Sahara Desert crossing,246,863,18,10.621309,-4.744354
2019,3,6,3,104,1,52,Horn of Africa to Yemen crossing,758,863,4,6.765396,47.412245
2019,3,22,17,104,1,132,Western Africa / Atlantic route to the Canary Islands,540,863,18,14.76791,-17.263067
2019,3,22,17,104,1,66,Sahara Desert crossing,1735,863,18,11.154918,-1.142613
2019,3,22,17,104,1,66,Sahara Desert crossing,1100,863,18,12.167129,-0.34371
2019,3,19,13,83,10,132,Sahara Desert crossing,1934,1132,13,13.865704815,99.587248724
2019,3,23,9,104,1,66,Sahara Desert crossing,2389,863,8,32.89534,13.18105
2019,3,22,17,104,3,52,Sahara Desert crossing,1660,863,18,12.432517,-1.520122
2019,3,22,7,104,1,66,Sahara Desert crossing,1356,863,7,12.135542,15.133711
2019,3,28,5,102,1,15,Eastern Mediterranean,689,297,16,40.886871122,26.249464612
2019,3,2,1,60,1,132,US-Mexico border crossing,2292,834,2,19.334475177,-98.069823988
2019,3,22,17,104,2,132,Sahara Desert crossing,341,863,18,11.127705,-4.316257
2019,3,22,17,104,2,132,Sahara Desert crossing,1030,863,18,10.667984,-14.558985
2019,3,6,3,104,1,66,Horn of Africa to Yemen crossing,1079,863,4,-0.339543,42.547825
2019,3,23,5,104,1,15,Eastern Mediterranean,689,528,16,40.880966337,26.221849981
2019,3,0,0,59,19,15,Caribbean to US,1602,1190,0,21.544304856,-72.464247664
2019,4,2,1,43,1,132,US-Mexico border crossing,1864,1235,2,23.260560932,-102.337369154
2019,4,6,3,104,1,33,Horn of Africa to Yemen crossing,591,863,4,2.5,42.329444
2019,4,22,17,104,1,132,Sahara Desert crossing,237,863,18,12.699137,-8.023181
2019,4,22,17,104,3,132,Sahara Desert crossing,2064,863,18,11.349313,-5.665146
2019,4,2,1,54,1,132,US-Mexico border crossing,2326,475,2,20.249934739,-99.662936105
2019,4,5,3,49,1,133,Horn of Africa to Yemen crossing,1500,609,4,11.2697552,49.1768583
2019,4,6,3,104,1,133,Horn of Africa to Yemen crossing,2426,609,4,11.2755407,49.1878994
2019,4,22,17,104,11,133,Sahara Desert crossing,1096,863,18,14.081062,-3.082222
2019,4,22,17,104,3,132,Sahara Desert crossing,237,863,18,12.699137,-8.023181
2019,4,22,17,104,1,132,Sahara Desert crossing,1032,863,18,11.139841,2.929701
2019,4,22,17,104,2,133,Sahara Desert crossing,70,863,18,5.448645,-4.026206
2019,4,22,17,104,2,132,Sahara Desert crossing,311,863,18,13.862063,-2.846229
2019,4,22,17,104,2,52,Sahara Desert crossing,67,863,18,5.446192,-3.995437
2019,4,22,17,104,1,132,Sahara Desert crossing,533,863,18,6.484370298,2.396174115
2019,4,22,17,104,1,66,Sahara Desert crossing,1107,863,18,7.006736497,-1.660068162
2019,4,22,17,104,2,133,Sahara Desert crossing,71,863,18,5.430734,-4.039775
2019,4,22,17,104,1,52,Sahara Desert crossing,528,863,18,9.62204,-13.588944
2019,4,22,17,104,2,52,Sahara Desert crossing,68,863,18,5.34845,-4.024984
2019,4,22,7,104,1,52,Sahara Desert crossing,1147,863,7,9.464327,0.414987
2019,4,22,17,104,2,132,Sahara Desert crossing,1664,863,18,9.976867,-5.147179
2019,4,22,17,104,1,132,Sahara Desert crossing,2424,863,18,9.924704,-3.41545
2019,4,22,17,104,1,66,Sahara Desert crossing,2431,863,18,11.810175,3.066426
2019,4,22,17,104,1,52,Sahara Desert crossing,68,863,18,5.34845,-4.024984
2019,4,22,17,104,1,132,Sahara Desert crossing,2444,863,18,9.779978,-5.020201
2019,4,2,1,60,1,133,US-Mexico border crossing,1364,417,2,14.6414231,-90.5462069
2019,4,22,17,104,1,132,Sahara Desert crossing,533,863,18,2.387595,6.369104
2019,4,22,17,104,1,66,Sahara Desert crossing,1107,863,18,6.659396,-1.621256
2019,4,22,17,104,2,132,Sahara Desert crossing,1663,863,18,10.000556754,-5.149189627
2019,4,22,17,104,1,132,Sahara Desert crossing,1032,863,18,11.167335004,2.928155727
2019,4,22,17,104,1,132,Sahara Desert crossing,67,863,18,5.446192,-3.995437
2019,4,22,17,104,1,52,Sahara Desert crossing,491,863,18,11.102272965,0.009720323
2019,4,20,12,104,1,52,Sahara Desert crossing,190,863,17,22.294939,91.763224
2019,4,22,17,104,1,132,Sahara Desert crossing,67,863,18,5.605775751,-3.979681824
2019,4,22,17,104,1,52,Sahara Desert crossing,489,863,18,11.120327202,0.011204833
2019,4,2,1,60,3,133,US-Mexico border crossing,2182,357,2,17.8409173,-92.6189273
2019,4,2,1,60,1,133,US-Mexico border crossing,327,358,2,17.8409173,-92.6189273
2019,4,20,13,104,1,52,Sahara Desert crossing,1276,1156,13,6.5266457,100.4193175
2019,4,20,13,104,2,52,Sahara Desert crossing,2562,863,13,16.955248,96.277546
2019,4,20,12,104,5,132,Sahara Desert crossing,486,863,15,22.344155,91.855184
2019,4,20,13,104,5,132,Sahara Desert crossing,1759,863,13,21.159601,92.644961
2019,4,20,12,104,2,52,Sahara Desert crossing,190,863,17,22.271788,91.706172
2019,4,22,17,104,1,66,Sahara Desert crossing,68,863,18,-4.024984,5.34845
2019,4,2,1,54,1,132,US-Mexico border crossing,871,432,2,19.5850377,-98.5666077
2019,5,22,17,104,1,66,Sahara Desert crossing,1034,863,18,1.515145,12.479761
2019,4,22,9,30,21,132,Sahara Desert crossing,1123,109,8,35.021851457,-2.230722467
2019,4,2,1,43,1,66,US-Mexico border crossing,1367,477,2,16.2371385,-93.8986279
2019,4,6,9,104,2,52,Sahara Desert crossing,2070,863,8,31.161294,16.574304
2019,4,6,9,104,2,52,Sahara Desert crossing,1363,863,8,31.13712,29.945215
2019,4,6,9,104,3,52,Sahara Desert crossing,2389,863,8,32.829024,13.205116
2019,5,22,9,104,1,66,Sahara Desert crossing,2429,863,8,3.987656,19.834348
2019,5,22,17,104,4,133,Sahara Desert crossing,158,863,18,-0.860624,14.22495
2019,5,22,17,104,2,133,Sahara Desert crossing,2065,863,18,-0.756404,14.304578
2019,5,22,17,104,1,52,Sahara Desert crossing,68,863,18,-4.024984,5.34845
2019,5,6,3,104,1,66,Horn of Africa to Yemen crossing,1656,863,4,9.405992,45.067997
2019,5,22,17,104,1,133,Sahara Desert crossing,761,863,18,-0.028555,16.261959
2019,5,22,17,104,1,66,Sahara Desert crossing,2202,863,18,-13.671278,13.76998
2019,5,2,1,60,1,132,US-Mexico border crossing,2373,427,2,19.072646809,-98.176404242
2019,5,19,13,64,4,15,Horn of Africa to Yemen crossing,1604,581,13,1.922841617,104.155461901
2019,5,2,1,44,2,132,US-Mexico border crossing,300,445,2,16.416331403,-92.259368269
2019,5,22,17,104,2,52,Sahara Desert crossing,1666,863,18,-1.52105,12.368721
2019,5,22,17,104,1,66,Sahara Desert crossing,1045,863,18,-1.086697,13.089834
2019,5,19,13,82,4,15,Afghanistan to Iran,1332,898,13,21.002674422,92.260971125
2019,5,0,1,27,1,133,US-Mexico border crossing,441,446,2,14.901059828,-92.261950526
2019,5,22,9,104,9,33,Sahara Desert crossing,137,863,8,-1.419583,23.073946
2019,5,22,17,104,1,66,Sahara Desert crossing,2441,863,18,-9.397013,9.971204
2019,5,22,17,104,1,133,Sahara Desert crossing,1351,863,18,-1.551727,14.409062
2019,5,2,1,60,1,133,US-Mexico border crossing,1522,767,2,17.555709223,-92.338776619
2019,5,22,17,104,2,133,Sahara Desert crossing,158,863,18,-0.860624,14.22495
2019,5,22,17,104,3,52,Sahara Desert crossing,1069,863,18,1.409297,18.451348
2019,5,22,17,104,4,52,Sahara Desert crossing,340,863,18,-4.306153,11.158826
2019,5,2,1,54,1,132,US-Mexico border crossing,2297,721,2,17.73107187,-95.131446728
2019,5,20,12,104,1,33,Sahara Desert crossing,2562,863,13,16.991318,96.062731
2019,5,22,17,104,2,133,Sahara Desert crossing,790,863,18,-0.519254,14.032179
2019,5,22,17,104,1,66,Sahara Desert crossing,2234,863,18,-3.002443,16.765672
2019,5,20,13,104,3,52,Sahara Desert crossing,1622,863,17,6.663116,101.720689
2019,5,14,11,106,3,132,Darien,1855,329,11,0.4620818,-77.9426706
2019,5,25,5,104,1,15,Eastern Mediterranean,702,1181,16,41.327261928,26.509923237
2019,5,10,1,104,1,132,US-Mexico border crossing,2283,905,2,25.805945517,-101.007119515
2019,5,2,1,104,1,132,US-Mexico border crossing,831,1095,2,17.978890812,-92.821729096
2019,5,22,17,104,3,133,Sahara Desert crossing,2428,863,18,-0.514727,14.020147
2019,5,22,17,104,1,133,Sahara Desert crossing,1096,863,18,-3.083854,14.071406
2019,5,22,17,104,2,133,Sahara Desert crossing,245,863,18,-3.609872,14.348009
2019,5,22,17,104,1,133,Sahara Desert crossing,2048,863,18,-4.095712,14.522374
2019,5,22,17,104,3,132,Sahara Desert crossing,314,863,18,-2.92614,11.770559
2019,5,22,17,104,3,132,Sahara Desert crossing,340,863,18,-4.306153,11.158826
2019,5,22,9,104,13,33,Sahara Desert crossing,2429,863,8,-1.307491,23.338396
2019,5,22,17,104,7,52,Sahara Desert crossing,2234,863,18,-3.002443,16.765672
2019,5,2,1,60,1,66,US-Mexico border crossing,600,833,2,19.40866,-98.1183245
2019,5,25,18,104,5,132,Iran to Türkiye,2499,1198,19,38.658925649,43.307213903
2019,5,0,10,34,1,15,Caribbean to US,1557,1223,9,45.015152345,-73.363652063
2019,5,22,9,104,2,52,Sahara Desert crossing,2429,863,8,-1.307491,23.338396
2019,5,22,9,104,8,52,Sahara Desert crossing,2429,863,8,-1.307491,23.338396
2019,5,22,17,104,1,66,Sahara Desert crossing,2433,863,18,-0.46162,14.281303
2019,5,22,17,104,1,52,Sahara Desert crossing,1046,863,18,-11.444687,14.435103
2019,5,2,1,60,1,15,Western Balkans,1929,369,2,38.701231409,44.242474772
2019,5,22,17,104,1,33,Sahara Desert crossing,2048,863,18,-4.095111,14.52279
2019,5,22,17,104,1,66,Sahara Desert crossing,237,863,18,-7.995856,12.617282
2019,5,20,12,104,1,132,Iran to Türkiye,2501,863,15,37.966327,44.748659
2019,5,22,17,104,1,52,Sahara Desert crossing,1047,863,18,-12.17459,12.559796
2019,5,22,7,104,1,132,Sahara Desert crossing,2435,863,7,22.524866,9.987734
2019,5,22,9,104,1,132,Sahara Desert crossing,1516,817,8,35.716289967,-5.841888903
2019,5,14,11,106,1,132,Darien,1856,725,11,7.5696934,-72.6370798
2019,5,20,13,104,2,52,Sahara Desert crossing,1642,863,13,5.829101,101.268351
2019,5,20,13,104,2,52,Sahara Desert crossing,1579,863,17,6.162062,100.153783
2019,5,20,13,104,2,52,Sahara Desert crossing,1386,863,13,18.827558,98.903799
2019,6,22,17,104,1,52,Sahara Desert crossing,237,863,18,-7.995856,12.617282
2019,5,20,12,104,2,33,Sahara Desert crossing,486,863,15,22.347477,91.863837
2019,5,20,13,104,3,52,Sahara Desert crossing,1386,863,13,18.827558,98.903799
2019,5,20,13,104,1,33,Sahara Desert crossing,1588,863,13,6.920721,101.407743
2019,5,10,1,104,1,132,US-Mexico border crossing,2377,1240,2,27.870433743,-101.087204211
2019,5,6,3,104,1,52,Horn of Africa to Yemen crossing,816,863,4,11.734882,41.809897
2019,5,6,3,104,1,52,Horn of Africa to Yemen crossing,605,863,4,11.103113,42.368422
2019,5,6,9,104,1,52,Afghanistan to Iran,2389,863,8,32.829024,13.205116
2019,5,19,13,82,3,133,Sahara Desert crossing,500,822,13,16.8130067,98.7411219
2019,6,22,17,104,1,66,Sahara Desert crossing,1099,863,18,-0.351305,12.179216
2019,5,0,1,27,1,66,US-Mexico border crossing,2451,198,2,19.4326077,-99.133208
2019,6,22,17,104,1,66,Sahara Desert crossing,533,863,18,2.387595,6.369104
2019,6,20,13,104,2,132,Sahara Desert crossing,2545,863,13,-6.950265,108.193411
2019,6,0,0,34,8,15,Dominican Republic to Puerto Rico,30,795,0,18.821146905,-68.18547775
2019,6,20,12,104,1,33,Sahara Desert crossing,1759,863,13,21.147579,92.599273
2019,6,23,9,104,2,52,Sahara Desert crossing,1938,863,8,38.12072,13.30701
2019,6,20,12,104,1,52,Sahara Desert crossing,1759,863,13,21.04902,92.519601
2019,6,20,13,104,2,52,Sahara Desert crossing,2561,863,13,16.909762,96.556366
2019,6,22,17,104,1,66,Sahara Desert crossing,1666,863,18,-1.52105,12.368721
2019,6,20,12,104,3,133,Afghanistan to Iran,2072,863,15,30.152124,60.739341
2019,6,20,13,104,1,66,Sahara Desert crossing,2479,863,13,5.875992,101.823185
2019,6,26,9,56,1,66,Sahara Desert crossing,89,108,8,35.138187622,-2.970536364
2019,6,22,17,104,2,133,Sahara Desert crossing,2433,863,18,-0.46162,14.281303
2019,6,6,3,104,1,133,Horn of Africa to Yemen crossing,404,609,4,11.2755407,49.1878994
2019,6,2,1,54,1,66,US-Mexico border crossing,1423,448,2,15.019419,-92.3808465
2019,6,22,17,104,1,52,Sahara Desert crossing,68,863,18,-4.024984,5.34845
2019,6,22,17,104,2,132,Sahara Desert crossing,237,863,18,-7.995856,12.617282
2019,6,22,17,104,2,133,Sahara Desert crossing,1046,863,18,-11.444687,14.435103
2019,6,2,1,43,1,133,US-Mexico border crossing,1022,711,2,18.05419373,-94.135662914
2019,6,22,17,104,4,132,Sahara Desert crossing,237,863,18,-7.995856,12.617282
2019,6,22,17,104,2,66,Sahara Desert crossing,2064,863,18,-5.691763,11.316677
2019,6,22,17,104,2,52,Sahara Desert crossing,78,863,18,-0.185566,5.597359
2019,6,20,12,104,1,52,Sahara Desert crossing,2566,863,13,18.934699,94.693844
