year,reported_month,region_of_origin,region_of_incident,country_of_origin,total_dead_and_missing,cause_of_death,migration_route,location_of_death,source,unsd_geographical_grouping,lat,lon
2015,4,0,0,26,3,15,Caribbean to US,2613,1145,0,25.14497061,-77.698404
2015,4,6,3,104,1,52,Sahara Desert crossing,2573,862,4,-22.1876758,29.926539
2015,4,6,3,104,1,33,Horn of Africa to Yemen crossing,305,862,4,9.915894,44.647095
2015,4,10,1,104,1,132,US-Mexico border crossing,1822,924,2,26.213257,-100.156984
2015,4,6,3,104,1,132,Sahara Desert crossing,1041,862,4,17.701111,38.369873
2015,4,10,1,104,1,132,US-Mexico border crossing,726,32,2,20.538573,-101.455532
2015,4,19,13,15,7,132,Afghanistan to Iran,1549,555,13,13.1285787,101.3658
2015,4,23,9,104,2,133,Sahara Desert crossing,1263,808,8,32.31862536,15.161054
2015,5,16,13,82,36,52,Sahara Desert crossing,2257,1122,13,8.540132,98.661975
2015,5,16,13,104,2,52,Sahara Desert crossing,2256,1122,13,8.4501414,98.525532
2015,5,10,1,104,1,133,US-Mexico border crossing,1164,455,2,32.650514,-115.448746
2015,5,19,5,0,1,132,English Channel to the UK,776,802,20,45.732148,4.999428
2015,5,16,13,82,100,133,Sahara Desert crossing,2463,118,13,11.2878883,95.729982
2015,5,6,3,104,1,52,Horn of Africa to Yemen crossing,312,862,4,1.695679,37.937683
2015,5,16,13,82,10,52,Sahara Desert crossing,2502,118,13,11.83628223,95.31373
2015,5,6,3,104,1,132,Sahara Desert crossing,915,862,4,1.860474,37.772888
2015,5,16,13,8,1,66,Afghanistan to Iran,952,607,13,4.71878,97.931785
2015,5,5,3,72,8,15,Comoros to Mayotte,1558,694,4,-13.3150186,48.259261
2015,5,6,3,104,1,52,Horn of Africa to Yemen crossing,1080,862,4,-0.353821,42.545288
2015,5,6,9,104,1,33,Afghanistan to Iran,415,862,8,30.410095,19.569885
2015,5,16,13,9,47,15,Afghanistan to Iran,1759,981,13,19.810093,93.987843
2015,5,16,13,82,106,133,Sahara Desert crossing,32,1210,13,6.672991,100.178973
2015,5,16,13,9,2,52,Afghanistan to Iran,951,579,13,13.498141,89.487406
2015,5,10,1,104,1,132,US-Mexico border crossing,1762,420,2,27.4688428,-99.557493
2015,5,0,11,27,1,66,Darien,2404,280,11,8.086946369,-76.728381
2015,5,10,1,104,1,133,US-Mexico border crossing,1119,458,2,32.602038,-116.079468
2015,6,16,13,82,60,52,Sahara Desert crossing,265,1168,13,10.010819,94.999996
2015,6,2,1,60,1,132,US-Mexico border crossing,494,875,2,18.971129,-97.443327
2015,6,10,1,104,3,133,US-Mexico border crossing,2085,97,2,29.3766625,-113.982346
2015,6,26,1,53,5,15,Darien,557,509,2,7.7387116,-77.986971
2015,6,2,1,60,1,132,US-Mexico border crossing,2524,925,2,25.695667,-100.329018
2015,6,5,5,81,1,132,English Channel to the UK,817,1122,10,51.47115,-0.456487
2015,6,6,3,104,2,66,Sahara Desert crossing,1301,862,4,-18.563171,35.002686
2015,6,6,3,104,1,133,Horn of Africa to Yemen crossing,992,862,4,9.355286,42.795288
2015,6,2,1,44,9,132,US-Mexico border crossing,1306,453,2,17.7212,-92.8139
2015,7,10,1,104,1,52,US-Mexico border crossing,2600,205,2,19.421016,-98.142549
2015,7,2,1,55,2,132,US-Mexico border crossing,839,444,2,16.357811,-94.758468
2015,7,2,1,55,2,132,US-Mexico border crossing,777,349,2,17.1602655,-97.33124
2015,7,6,3,104,1,52,Horn of Africa to Yemen crossing,940,862,4,-4.047485,39.756104
2015,7,10,1,104,1,132,US-Mexico border crossing,1113,1089,2,20.056657,-104.098026
2015,8,0,11,27,1,15,Darien,1566,328,11,8.510109,-77.27898
2015,8,10,1,104,1,133,US-Mexico border crossing,1624,656,2,30.39808,-111.534296
2015,8,2,1,60,1,133,US-Mexico border crossing,886,1152,2,20.373733,-99.646352
2015,8,10,1,104,1,132,US-Mexico border crossing,342,732,2,22.443927,-101.074437
2015,8,6,9,104,1,132,Horn of Africa to Yemen crossing,294,862,8,13.599487,35.630127
2015,8,28,18,100,10,132,Syria to Türkiye,2407,545,19,39.315282,26.690483
2015,8,2,1,85,1,133,US-Mexico border crossing,469,248,2,15.716666,-96.483329
2015,8,10,1,104,1,132,US-Mexico border crossing,1445,659,2,21.003405,-101.514199
2015,8,6,9,104,2,133,Afghanistan to Iran,2069,862,8,30.753479,33.122681
2015,8,2,1,104,19,52,US-Mexico border crossing,2097,413,2,18.082037,-97.920056
2015,8,16,13,82,24,52,Sahara Desert crossing,2595,118,13,6.44491,100.205
2015,8,28,5,2,71,132,Eastern Mediterranean,1612,124,20,48.2081743,16.373819
2015,8,23,9,104,1,133,Sahara Desert crossing,2070,808,8,31.199373,16.596383
2015,9,10,1,104,1,132,US-Mexico border crossing,2385,955,2,27.6897876,-110.069709
2015,9,19,13,64,61,15,Horn of Africa to Yemen crossing,1606,17,13,4.155698697,103.447934
2015,9,10,1,104,1,132,US-Mexico border crossing,47,695,2,27.4779362,-99.549573
2015,9,23,5,104,1,132,English Channel to the UK,2041,1025,20,52.3105386,4.768274
2015,9,6,3,104,1,52,Sahara Desert crossing,309,862,4,13.798889,34.848694
2015,9,6,3,104,1,33,Horn of Africa to Yemen crossing,1474,862,4,8.4055964,48.475394
2015,9,6,3,104,1,66,Sahara Desert crossing,1253,862,4,12.951111,36.155518
2015,9,6,3,104,1,66,Sahara Desert crossing,972,862,4,0.355713,37.583313
2015,9,6,3,104,1,52,Horn of Africa to Yemen crossing,592,862,4,5.147458,41.705795
2015,9,10,1,104,1,132,US-Mexico border crossing,2211,1016,2,19.7114371,-99.059241
2015,9,2,1,55,2,132,US-Mexico border crossing,1731,960,2,19.049997,-98.199999
2015,9,2,1,104,1,133,US-Mexico border crossing,675,997,2,20.491232,-99.929311
2015,9,10,1,104,1,133,US-Mexico border crossing,2239,945,2,19.195438,-96.141352
2015,9,14,1,37,3,52,US-Mexico border crossing,2525,453,2,19.1738,-96.1342
2015,9,23,9,104,1,133,Sahara Desert crossing,2100,808,8,32.73665691,12.464628
2015,9,25,12,104,2,133,Afghanistan to Iran,1299,808,15,32.1731347,52.840788
2015,10,6,9,104,2,132,Sahara Desert crossing,112,862,8,14.024307,35.368568
2015,10,6,9,104,1,66,Sahara Desert crossing,1042,862,8,15.45813,36.404114
2015,10,10,1,104,1,133,US-Mexico border crossing,2548,51,2,19.408,-98.052
2015,10,6,9,104,1,133,Central Mediterranean,2389,862,8,32.849232,13.1648
2015,10,6,9,104,4,33,Sahara Desert crossing,135,862,8,15.10968,36.493896
2015,10,6,3,104,1,52,Sahara Desert crossing,2216,862,4,14.2727986,36.22949
2015,10,14,1,37,3,132,US-Mexico border crossing,2239,771,2,19.195438,-96.141352
2015,10,5,3,49,8,132,Horn of Africa to Yemen crossing,2616,532,4,9.511598,49.086764
2015,10,6,9,104,1,66,Sahara Desert crossing,2531,862,8,14.393127,33.539307
2015,10,6,3,104,1,33,Horn of Africa to Yemen crossing,303,862,4,9.107727,48.933105
2015,10,2,1,43,1,15,US-Mexico border crossing,2597,3,2,26.102091,-98.304259
2015,10,19,5,0,1,132,Western Mediterranean,1172,235,10,51.299076,0.51688
2015,10,23,5,104,1,132,English Channel to the UK,2586,1025,20,50.9364,1.79995
2015,10,6,3,104,1,66,Horn of Africa to Yemen crossing,421,862,4,3.923889,41.875122
2015,10,19,12,0,20,132,Afghanistan to Iran,2590,1211,15,35.199293,51.020506
2015,10,6,9,104,3,52,Afghanistan to Iran,2069,862,8,30.669922,32.739319
2015,10,6,9,104,5,33,Sahara Desert crossing,306,862,8,15.41687,34.738892
2015,10,6,9,104,2,33,Sahara Desert crossing,2531,862,8,14.393127,33.539307
2015,10,6,3,104,1,66,Sahara Desert crossing,769,862,4,14.287109,33.524902
2015,10,6,3,104,4,52,Sahara Desert crossing,9,862,4,13.776917,37.661072
2015,10,6,3,104,2,52,Horn of Africa to Yemen crossing,320,862,4,-1.75177,40.627502
2015,10,2,1,54,1,66,US-Mexico border crossing,864,13,2,17.995878,-94.547559
2015,10,2,1,60,1,132,US-Mexico border crossing,1235,179,2,17.761518,-92.596498
2015,10,6,9,104,1,132,Sahara Desert crossing,1042,862,8,15.465881,36.412903
2015,10,5,3,24,8,15,Comoros to Mayotte,2397,693,4,-11.8028,43.8519
2015,10,6,9,104,2,133,Afghanistan to Iran,2067,862,8,29.5,34.0
2015,11,19,13,15,4,132,Afghanistan to Iran,2596,964,13,13.3611,100.985
2015,11,2,1,60,1,132,US-Mexico border crossing,1118,704,2,15.9564,-93.6631
2015,11,13,9,99,1,133,Sahara Desert crossing,649,1154,8,30.691617,34.499499
2015,11,6,3,104,1,33,Horn of Africa to Yemen crossing,1443,862,4,8.476128,47.34748
2015,11,2,1,60,1,52,US-Mexico border crossing,990,1209,2,26.974509,-112.782746
2015,11,2,1,43,1,132,US-Mexico border crossing,2022,282,2,19.704968,-98.834546
2015,11,13,9,99,15,133,Afghanistan to Iran,2090,1028,8,31.2410823,34.237559
2015,11,10,1,104,1,133,US-Mexico border crossing,325,917,2,17.94614,-94.210325
2015,11,6,9,104,4,133,Sahara Desert crossing,589,862,8,30.231079,33.178711
2015,11,23,5,104,2,132,Western Mediterranean,2592,1122,10,52.783148,-1.67928
2015,11,6,3,104,6,52,Sahara Desert crossing,1253,862,4,12.950684,36.159485
2015,11,6,9,104,3,52,Afghanistan to Iran,2069,862,8,29.52317,33.80547
2015,11,13,9,99,5,133,Afghanistan to Iran,1553,1025,8,30.89643693,33.587365
2015,11,6,9,104,4,132,Sahara Desert crossing,169,862,8,29.52317,33.80547
2015,11,6,9,104,1,52,Sahara Desert crossing,1720,862,8,19.6103747,37.12898
2015,11,2,1,104,4,132,US-Mexico border crossing,2201,927,2,24.150458,-98.629149
2015,11,22,17,57,4,133,Sahara Desert crossing,1649,20,18,36.1734,-2.62573
2015,12,2,1,104,1,132,US-Mexico border crossing,273,902,2,16.194244,-94.977747
2015,12,11,9,16,2,132,Western Mediterranean,2598,671,8,35.844745,-5.356311
2015,12,5,14,109,3,0,Horn of Africa to Yemen crossing,2609,826,14,-22.218441,29.985529
2015,12,6,9,104,2,52,Afghanistan to Iran,2069,862,8,30.744324,32.662476
2015,12,5,3,49,7,132,Sahara Desert crossing,2594,1236,4,-20.159104,28.572376
2015,12,6,9,104,3,52,Afghanistan to Iran,2068,862,8,30.970703,34.068726
2015,12,10,1,104,1,66,US-Mexico border crossing,1523,843,2,27.1934864,-104.145363
2015,12,6,3,104,1,52,Sahara Desert crossing,2400,862,4,-9.3095648,32.768948
2015,12,10,1,104,1,132,US-Mexico border crossing,2009,1042,2,19.6955139,-98.896157
2015,12,6,3,104,3,33,Sahara Desert crossing,1253,862,4,12.951721,36.1521
2015,12,6,3,104,1,66,Sahara Desert crossing,1253,862,4,12.954462,36.157256
2015,12,6,3,104,1,52,Horn of Africa to Yemen crossing,1444,862,4,8.522888,47.371704
2015,12,6,9,104,1,133,Horn of Africa to Yemen crossing,759,862,8,12.961304,36.145508
2015,12,6,3,104,1,52,Horn of Africa to Yemen crossing,1417,862,4,9.543274,44.0401
2015,12,6,3,104,2,66,Sahara Desert crossing,1253,862,4,12.959473,36.158875
2015,12,6,9,104,1,66,Sahara Desert crossing,112,862,8,14.024307,35.368568
2015,12,6,3,104,1,52,Horn of Africa to Yemen crossing,302,862,4,10.106873,48.86731
2015,12,0,1,27,1,133,Darien,1463,522,2,11.62863706,-85.937685
2015,12,5,5,47,1,0,Central Mediterranean,678,329,16,40.067293,9.175777
2015,12,6,9,104,1,52,Sahara Desert crossing,1435,862,8,15.44812,36.275513
2015,12,6,3,104,1,52,Horn of Africa to Yemen crossing,1440,862,4,8.493103,47.336731
2015,12,6,9,104,2,52,Sahara Desert crossing,1042,862,8,15.464722,36.448486
2015,12,6,9,104,2,133,Sahara Desert crossing,1042,862,8,15.457275,36.387512
2015,12,6,9,104,6,52,Sahara Desert crossing,122,862,8,30.398315,19.578125
2015,12,6,3,104,2,52,Horn of Africa to Yemen crossing,1440,862,4,8.476128,47.34748
2015,12,6,9,104,3,52,Sahara Desert crossing,2532,862,8,14.385925,33.50293
2015,12,6,3,104,3,52,Horn of Africa to Yemen crossing,185,862,4,-9.94989,40.462708
2015,12,6,3,104,1,66,Sahara Desert crossing,228,862,4,11.57428,37.361328
2015,12,28,9,98,1,133,Sahara Desert crossing,773,59,8,31.30945,34.222756
2015,12,2,1,43,1,52,US-Mexico border crossing,2258,998,2,14.893189,-92.27541
2015,12,5,3,73,1,0,Comoros to Mayotte,277,1124,4,-22.216669,29.999997
2015,12,6,3,104,1,66,Horn of Africa to Yemen crossing,859,862,4,-0.023376,41.314087
2015,12,6,3,104,1,133,Horn of Africa to Yemen crossing,1266,862,4,2.075684,45.353088
2015,12,6,3,104,1,133,Horn of Africa to Yemen crossing,2408,862,4,5.152149,46.199616
2015,12,10,1,104,3,133,US-Mexico border crossing,317,1051,2,20.692916,-100.251252
2016,1,2,1,60,3,52,US-Mexico border crossing,1556,1152,2,27.9826499,-103.7840617
2016,1,28,18,100,4,132,Türkiye-Europe land route,709,83,19,39.8136758,26.5558626
2016,1,2,1,60,1,132,US-Mexico border crossing,1085,16,2,17.2643417,-91.0018464
2016,1,28,18,100,7,132,Syria to Türkiye,2547,292,19,39.5071324,27.9384909
2016,1,23,5,104,1,132,Western Mediterranean,741,235,20,48.7262433,2.3630585
2016,1,6,3,104,2,132,Sahara Desert crossing,889,862,4,14.2782317,36.596317
2016,1,6,3,104,1,52,Horn of Africa to Yemen crossing,1502,862,4,9.6047166,43.3326101
2016,1,6,3,104,1,66,Horn of Africa to Yemen crossing,1409,862,4,8.4066579,48.4713577
